palatable,height,color,family,name
False,9.144,Orange,Betulaceae,Carpinus caroliniana
False,25.908,Yellow,Juglandaceae,Carya aquatica
True,22.86,Green,Juglandaceae,Carya cordiformis
True,24.384,Yellow,Juglandaceae,Carya glabra
True,36.576,Yellow,Juglandaceae,Carya illinoinensis
True,30.48,Yellow,Juglandaceae,Carya laciniosa
True,28.956000000000003,Yellow,Juglandaceae,Carya myristiciformis
True,22.86,Yellow,Juglandaceae,Carya ovata
False,0.12192000000000001,White,Ericaceae,Cassiope tetragona
True,35.052,White,Fagaceae,Castanea dentata
True,15.24,Yellow,Fagaceae,Castanea mollissima
True,6.096,Yellow,Fagaceae,Castanea pumila
False,0.762,Red,Scrophulariaceae,Castilleja angustifolia
False,0.45720000000000005,Red,Scrophulariaceae,Castilleja applegatei
False,0.48768000000000006,Red,Scrophulariaceae,Castilleja coccinea
False,0.45720000000000005,Red,Scrophulariaceae,Castilleja hispida
False,0.39624000000000004,Yellow,Scrophulariaceae,Castilleja sessiliflora
False,30.48,Red,Casuarinaceae,Casuarina cunninghamiana
False,30.48,Red,Casuarinaceae,Casuarina equisetifolia
False,18.288,Red,Casuarinaceae,Casuarina glauca
False,20.1168,White,Bignoniaceae,Catalpa bignonioides
False,18.288,White,Bignoniaceae,Catalpa speciosa
False,0.3048,Yellow,Poaceae,Cathestecum erectum
True,0.762,Purple,Berberidaceae,Caulophyllum thalictroides
False,0.3048,Blue,Rhamnaceae,Ceanothus ×flexilis
True,0.9144000000000001,Blue,Rhamnaceae,Ceanothus americanus
False,1.524,White,Rhamnaceae,Ceanothus cordulatus
False,3.3528000000000002,White,Rhamnaceae,Ceanothus cuneatus
False,0.3048,Blue,Rhamnaceae,Ceanothus fresnensis
False,2.1336,Blue,Rhamnaceae,Ceanothus greggii
False,3.9624,White,Rhamnaceae,Ceanothus integerrimus
False,3.9624,White,Rhamnaceae,Ceanothus megacarpus
False,4.8768,Blue,Rhamnaceae,Ceanothus papillosus
False,0.1524,Purple,Rhamnaceae,Ceanothus prostratus
False,3.048,White,Rhamnaceae,Ceanothus sanguineus
False,3.048,White,Rhamnaceae,Ceanothus velutinus
False,18.288,Green,Pinaceae,Cedrus deodara
False,9.144,White,Celastraceae,Celastrus orbiculatus
False,4.572,White,Celastraceae,Celastrus scandens
False,24.384,Green,Ulmaceae,Celtis laevigata
True,6.096,Green,Ulmaceae,Celtis laevigata var. reticulata
False,18.288,Green,Ulmaceae,Celtis occidentalis
False,0.45720000000000005,White,Gentianaceae,Centaurium exaltatum
False,4.572,White,Rubiaceae,Cephalanthus occidentalis
True,9.144,Purple,Fabaceae,Cercis canadensis
True,3.6576000000000004,Red,Fabaceae,Cercis canadensis var. texensis
False,6.096,Yellow,Rosaceae,Cercocarpus ledifolius
False,4.572,White,Rosaceae,Cercocarpus montanus
False,0.48768000000000006,White,Asteraceae,Chaenactis douglasii
False,2.4384,Orange,Rosaceae,Chaenomeles japonica
False,1.8288000000000002,White,Rosaceae,Chamaebatiaria millefolium
False,0.7315200000000001,Yellow,Fabaceae,Chamaecrista fasciculata
False,60.96,Blue,Cupressaceae,Chamaecyparis lawsoniana
False,15.24,Green,Cupressaceae,Chamaecyparis thyoides
False,1.2192,White,Ericaceae,Chamaedaphne calyculata
False,1.6764000000000001,Purple,Onagraceae,Chamerion angustifolium ssp. angustifolium
False,1.40208,Green,Poaceae,Chasmanthium latifolium
False,1.00584,Green,Poaceae,Chasmanthium laxum
False,1.524,Yellow,Poaceae,Chasmanthium sessiliflorum
